0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-471.01,102.47,-1464.9,-201.87,0,0,0,0,0,0,0,0,0,-508.43,-658.54,0,0,0,0,0,0,0,0,0,46.347,-66.232,-252.82,-311.78,0,0,0,0,0
0,-9.0429,-4.422,-1.1014,9.3166,-164.92,544.32,91.919,0,0,0,0,0,0,-1092.5,-471.87,40.254,-1387.8,-603.01,-186.13,160.37,0,0,0,0,2434.9,1175.2,400.41,-710.19,0,0,0,-269.7,128.86,-943.86,-307.51,-690.05,0,-648.26,116.46
0,37.116,18.072,6.0062,-21.881,-112.62,-48.058,-1.7519,11.421,78.522,40.035,20.192,-9.2215,-111.89,199.56,11.455,979.54,20.933,-71.573,-49.707,32.992,7.2922,24.301,20.428,-59.309,-47.763,-85.941,-57.249,-58.175,-51.439,-135.49,-0.88604,-79.044,37.922,57.186,55.847,-55.2,-217.22,-96.066,-55.209
-208.11,-100.44,-49.035,-22.141,-6.6877,2.0379,-16.39,-31.039,-92.567,70.621,216.23,146.25,30.743,114.41,304.51,56.852,1305.7,617.86,147.87,94.865,58.711,23.616,248.66,129.14,41.337,-61.507,-24.306,44.366,83.42,30.785,-424.21,37.633,67.032,-27.246,6.5743,-79.48,67.329,-13.233,56.915,-194.95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-279.77,-138.83,-76.849,-132.14,0,106.12,225.74,326.47,222.28,68.957,63.056,223.69,0,0,104.68,0,308.02,328.89,295.12,285.69,172.13,345.27,195.89,306.36,484.5,489.69,424.31,376.82,336.03,0,228.28,261.26,397.01,355.7,487.07,-172.85,0.34958,189.01,67.073
0,239.58,117.47,60.034,76.843,-129.45,-88.755,0,0,0,-810.58,0,0,0,0,0,0,0,0,0,0,1040.6,-823.28,0,0,0,0,0,0,0,0,-49.407,0,0,0,-676.4,0,0,0,0
0,205.45,98.347,43.796,30.253,-285.49,-397.05,-405.91,-432.21,-418.13,-525.18,-508.89,-506.4,-598.83,-328.3,-392.52,-851.51,-284.82,-371.32,-422.4,-504.71,-521.52,-420.83,-498.37,-457.34,-645.3,-439.32,-367.53,-253.68,-414.95,-590.96,-465.39,-409.56,-385.83,-192.4,-162.42,-1839.2,-1055.5,-556.94,-584.44
-448.5,-113.98,-56.727,-26.876,-2.6655,-18.317,28.45,-158.84,92.59,-412.33,-115.45,25.21,0,-170.76,71.089,34.533,482.13,-230.64,-119.69,22.13,-135.89,-26.809,0,2.4788,-111.95,8.6061,-100.54,-112.04,-181.11,-145.71,-221.86,-1181.9,-32.996,-426.06,-182.08,-312.37,-231.41,176.23,344.09,268.44
